PersonCode,Status,LocalFirstName,LocalLastName,LocalLanguageCode,PreferredName,LatinFirstName,LatinLastName,DateOfBirth,Gender,Nationality,CountryOfBirth,RegionOfBirth,PlaceOfBirth,Fax,Phone,Address1,Address2,PostalCode,Suburb,State,Email,DemographicField2,DemographicField3,DemographicField4,DemographicField5,DemographicField6,
21241466,Active,MATTI,NYMAN,,,,,2000/08/14,MALE,FIN,,,,,0400638598,ULMALANTIE 60,,26200,TAMPERE,,julia_grannas@hotmail.invalid,,,,,,
21241479,Active,KONSTA,VALTAMÄKI,,,,,1991/07/24,MALE,FIN,,,,,,Lippukuja 2a5,,60320,HINTHAARA,,,,,,,,
21241482,Active,EMILIA,KARLSSON,,,,,1994/09/06,MALE,FIN,,,,,0443730570,Säiniönkuja 3 B,,39160,VANTAA,,,,,,,,
21241505,Active,Timo,ÅBERG,,,,,2004/09/26,MALE,FIN,,,,,,Taimikuja 1 A,,,KERAVA,,riku.iwata1@gmail.invalid,,,,,,
21241518,Active,MARTTI,MÄKI - ULLAKKO,,,,,1998/03/27,FEMALE,FIN,,,,,,SILKKIKATU 11,,23500 ,ULVILA,,nina.bostrom@ifkmariehamn.invalid,,,,,,
21241521,Pending,ROSA,RANDELL,,,,,2002/12/12,FEMALE,SGP,,,,,,PEIPONKALLIONTIE 20,,15170,LAITILA,,,,,,,,
21241563,Pending,JOONA,ROIHA,,,,,1992/05/11,MALE,SGP,,,,,,YLÄNNEKATU 14 D 33,,37630,ROVANIEMI,,jani.sandbacka@onninen.invalid,,,,,,
21241576,Pending,OLAVI,LEHTO,,,,,2000/07/09,FEMALE,FIN,,,,,,HAKAPELLONTIE 15,,05800,JOENSUU,,,,,,,,
21241589,Pending,JAANA,LENSU,,,,,1981/05/13,MALE,FIN,,,,,0453275401,RANTATIE 19 B 9,,00710,TURKU,,,,,,,,
21241592,Inactive,JONY,SOUKKI,,,,,1990/08/11,FEMALE,FIN,,,,,,KIRJOKATU 7,,49660,ESPOO,,,,,,,,
21241602,Inactive,IDA,PELTOVAKO,,,,,1992/07/17,MALE,FIN,,,,,040-7313568,LINJAHAANTIE 1 B,,00320,MUSTASAARI,,,,,,,,
21241628,Inactive,PAULI,LAINE,,,,,1998/06/28,MALE,FIN,,,,,,KYRÖLÄNTIE 2 G,,90800,SAARIJÄRVI,,,,,,,,
21241644,Inactive,URHO,LAAKSONEN,,,,,1972/05/07,MALE,FIN,,,,,, Merenneidontie 26H,,61640,JYVÄSKYLÄ,,miro.maenpaa@hotmail.invalid,,,,,,
21241699,Suspended,JANNE,KOLEHMAINEN,,,,,2005/09/21,MALE,FIN,,,,,,Karvolankatu 7 d 21,,37120,HELSINKI,,mhleppan@wippies.invalid,,,,,,
21241709,Suspended,ALEKSANDER,SOINI,,,,,1994/01/21,MALE,FIN,,,,,,HIRTTIÖNTIE 7,,86300,HÄMEENLINNA,,matti.kanniainen@lappiedu.invalid,,,,,,
21241725,Suspended,VERTTI,TALVIOJA,,,,,1983/03/22,MALE,SGP,,,,,,HELMUNTIE 106,,,VAASA,,MARJA.KIVEKAS@LUUKKU.invalid,,,,,,
21241738,Suspended,JASPER,TUOMALA,,,,,2007/08/04,MALE,SGP,,,,,,FALLPAKANKUJA 10 A 1,,79700,ESPOO,,,,,,,,
21241741,Transferred,PEETU,ROWLEY,,,,,1999/02/17,MALE,FIN,,,,,08 451679,MYLLYOJANTIE 11 A 1,,96900,LEPSÄMÄ,,antti1787@gmail.invalid,,,,,,
21241754,Transferred,BENJAMIN,KONTKANEN,,,,,2003/05/31,MALE,FIN,,,,,045-2728999,HALTIJATONTUNTIE 39 A,,05200,HELSINKI,,jani.rantasuo@elisanet.invalid,,,,,,
21241767,Transferred,EEMELI,TÖRNROOS,,,,,2003/04/18,MALE,FIN,,,,,,TUOHITIE 38,,37550,PIEHINKI,,juha.kumpulainen@vaasa.invalid,,,,,,
21241770,Transferred,ONNI,HIETAMÄKI,,,,,1984/03/20,MALE,FIN,,,,,0451314399,Rajlotvägen 20,,,SEINÄJOKI,,jkokko2@welho.invalid,,,,,,
21241783,Deceased,ALEXANDER,NURMI,,,,,1998/02/11,MALE,FIN,,,,,,Kyyhkysmäki 9 C 37,,46900,LAUNONEN,,,,,,,,
21241796,Deceased,NOORA,LUIZ,,,,,1986/03/18,MALE,FIN,,,,,040-8248644,LAMMASKATU 34,,27510,VANTAA,,rami.hakala@sks.invalid,,,,,,
21241819,Deceased,NIIKI,VUORIKOSKI,,,,,1996/01/19,MALE,FIN,,,,,,Ristipellontie 6 A 13,,02180,OULUNSALO,,simo.kuitto@inet.invalid,,,,,,
21241851,Deceased,LEO,JANHUNEN,,,,,1991/05/10,MALE,FIN,,,,,050-5251153,Piettasenkatu 44 A 14,,01480,KIRKKONUMMI,,jurgelius@hotmail.invalid,,,,,,
21241880,Active,JESSE,ALATOSSAVA,,,,,1989/08/30,MALE,SGP,,,,,,RAKUUNANTIE 15A15,,40600,ESPOO,,,,,,,,
21241893,Active,JANI,KARJALAINEN,,,,,1984/01/14,MALE,SGP,,,,,,Kärsämöntie 4 F,,04500,HEINOLA,,risto.hotti@pp.inet.invalid,,,,,,
21241916,Active,HENNA-RIIKKA,VALKAMA,,,,,1999/06/24,MALE,FIN,,,,,,TAITONIEKANTIE 2 B 24,,96190,NURMIJÄRVI,,,,,,,,
21241932,Active,KEMO,MÄKELÄ,,,,,1955/02/06,MALE,FIN,,,,,09 5031314,KAIRONKATU 14,,04250,OULU,,,,,,,,
21241945,Active,JUHA,MANELIUS,,,,,1989/05/20,FEMALE,FIN,,,,,040-5460703,VIRONKATU 6 A 14B,,02230,FORSBY,,,,,,,,
21241958,Active,HELENA,ALIRANTA,,,,,2004/09/05,FEMALE,FIN,,,,,407338642,PIENEN VILLASAAREN TIE 9 B 8,,83950,KUOPIO,,,,,,,,
21241990,Active,SANTTU,PENTTINEN,,,,,2009/09/15,MALE,FIN,,,,,0401757224,SOINTUTIE 5 B 37,,90650,RIIHIMÄKI,,,,,,,,
21242009,Active,AATU,RGUILA,,,,,2002/05/22,FEMALE,FIN,,,,,,Maininkitie 16 D 50,,10300,VAASA,,,,,,,,
21242012,Active,JESSE,MÄKELÄ,,,,,1961/11/19,MALE,FIN,,,,,03-3773 135,MARJOMÄENTIE 293,,02110,HELSINKI,,jossur_5@hotmail.invalid,,,,,,
21242038,Active,RONY,KIVIMÄKI,,,,,1989/09/06,FEMALE,FIN,,,,,+358407324809,KORPISUONKATU 13 B 6,,13720,VAAJAKOSKI,,,,,,,,
21242070,Active,TATU,RUSAMA,,,,,1994/07/12,MALE,SGP,,,,,,MUNKKINIEMEN PUISTOTIE 5 A 5,,04250,ESPOO,,toimisto@fcinter.invalid,,,,,,
21242096,Active,RIKU,SIPPOLA,,,,,2000/01/26,MALE,SGP,,,,,,KOTIHIIRENTIE 4,,64700,HELSINKI,,,,,,,,
21242106,Active,TATU,BOSTRÖM,,,,,1998/05/11,MALE,FIN,,,,,0400311455,HIEKKANIEMENKATU 23,,90820,RAUMA,,tonttiharri@gmail.invalid ,,,,,,
21242119,Active,MATTI,INNANEN,,,,,1991/05/08,MALE,FIN,,,,,040 7084778,KAKSOSVUORENTIE 3,,96440,ESPOO,,eija.nyb@gmail.invalid ,,,,,,
21242122,Active,SAMI-PETTERI,KAISANLAHTI,,,,,1995/08/07,MALE,FIN,,,,,0440888675,TUKKIKAARRE 10,,56800,KEMIJÄRVI,,jessica.casagrande@turku.invalid,,,,,,
21242164,Active,JERE,HÄMÄLÄINEN,,,,,2000/08/14,MALE,FIN,,,,,040-7182786,LUUKKAANTIE 56,,00320,TAMMISAARI,,,,,,,,
21242193,Active,SIRUMILLA,GOLA,,,,,1991/07/24,MALE,FIN,,,,,,HAAPATIE 29,,50170,OULU,,,,,,,,
21242203,Active,INCA,KAARELA,,,,,1994/09/06,MALE,FIN,,,,,044-5890204,TYYNELÄNKUJA 1 A,,02740,LAMMI,,,,,,,,
21242216,Active,MIKO,LÅNGSTRÖM,,,,,2004/09/26,MALE,FIN,,,,,,PÄIVÄTIE 9 A 1,,37130,ESPOO,,potkupalloster@gmail.invalid,,,,,,
21242229,Active,ESA,HUOVILA,,,,,1998/03/27,MALE,FIN,,,,,050-5453079,KALDERSVÄGEN 32,,00670,HELSINKI,,mikko.pikkujamsa@ppvlex.invalid,,,,,,
21242232,Active,TONI,KÄCK,,,,,2002/12/12,MALE,SGP,,,,,,VALLITIE,,00660,PIEKSÄMÄKI,,poloman@wippies.invalid,,,,,,
21242258,Active,UKKO,TOIVONEN,,,,,1992/05/11,MALE,SGP,,,,,,SEPÄNKYLÄNTIE 14-16,,60150,TURKU,,,,,,,,
21242261,Active,ANTTI,KOLI,,,,,2000/07/09,MALE,FIN,,,,,0400-811146,Soijinmäentie 219,,01900,JOKELA,,olli-pekka.laajoki@seagate.invalid ,,,,,,
21242274,Active,NINA,TOIVANEN,,,,,1981/05/13,MALE,FIN,,,,,,VUORIKUJA,,33450,VAMPULA,,,,,,,,
21242287,Active,TUULI,TAMMINEN,,,,,1990/08/11,MALE,FIN,,,,,0504301925,Suojakatu 8,,00520,HELSINKI,,,,,,,,
21242290,Active,JOEL,VIRTANEN,,,,,1992/07/17,MALE,FIN,,,,,,JOSAFATINKATU 15 A 29,,04260,TUUSULA,,,,,,,,
21242339,Active,VIIVI,KATILA,,,,,1998/06/28,MALE,FIN,,,,,,Puutarhatie 1,,90100,TURKU,,arto.invalidanders@pp.inet.invalid,,,,,,
21242342,Active,OSKARI,KAMENICA,,,,,1972/05/07,MALE,FIN,,,,,,Paistetie 11,,04260,HANKO,,,,,,,,
21242368,Active,ABDIRIZAK,AARDEMÄE,,,,,2005/09/21,MALE,FIN,,,,,044-5448264,ORAVAKUJA 6 E 19,,00170,KOTKA,,owe.johanna@hotmail.invalid,,,,,,
21242397,Active,AKI,HUIKKO,,,,,1994/01/21,FEMALE,FIN,,,,,0408242450,PALOKUNNANKATU 9 C 6,,21600,LAHTI,,,,,,,,
21242407,Active,NIILO,JOKELAINEN,,,,,1983/03/22,FEMALE,FIN,,,,,050 3719144,PAJAMÄENTIE 9 D 33,,20900,ESBO,,tommi.kankare@tietoenator.invalid,,,,,,
21242423,Active,MELINA,PELTOMAA,,,,,2007/08/04,MALE,FIN,,,,,0405190588,WOLFFINTIE 11 A 9,,HUITTINEN,KORIA,,sami.satta@gmail.invalid,,,,,,
21242452,Active,SATU,LUOTO,,,,,1999/02/17,FEMALE,FIN,,,,,,KOLUNKYLÄNTIE 368,,21490,SEIN&#196;JOKI,,ansku22@hotmail.invalid,,,,,,
21242465,Active,FILIPH,KYNKÄÄNNIEMI,,,,,2003/05/31,MALE,FIN,,,,,014-3111380,Kaarinankatu 2a A 16,,33450,VASA,,ilmavirta.paivi@luukku.invalid,,,,,,
21242481,Active,JOONAS,KENNI,,,,,2003/04/18,FEMALE,SGP,,,,,,ULVILANTIE 23 B 18,,05400,PORI,,sanna.tervo@eduouka.invalid,,,,,,
21242517,Active,FRANK,GRONBERG,,,,,1984/03/20,MALE,FIN,,,,,,SOLA 6,,00410,LITTOINEN,,leila.rasanen@pp2.inet.invalid,,,,,,
21242520,Active,TAINA,VÄÄNÄNEN,,,,,1998/02/11,MALE,FIN,,,,,,KIELOKUJA 7 A 1,,27500,HEINOLA,,matervon@ulapland.invalid,,,,,,
21242546,Active,PETRI,NGO,,,,,1986/03/18,MALE,FIN,,,,,,MISTELITIE 43 B 3,,00300,NUMMENKYLÄ,,elen.v@jippii.invalid,,,,,,
21242559,Active,TARU,TERHO,,,,,1996/01/19,MALE,FIN,,,,,0505240242,kevätpuuntie 16,,65100,HELSINKI,,annette.rokala@gmail.invalid,,,,,,
21242562,Active,RASMUS,KUURE,,,,,1991/05/10,MALE,FIN,,,,,358 40 5173221,SUKEVANTIE 39 AS. 2,,00740,LAHTI,,juhani.lahtela@fi.huhtamaki.invalid,,,,,,
21242575,Active,BENJAM,KIVIRINTA,,,,,1989/08/30,MALE,FIN,,,,,,RAATTEENTIE 1 F 18,,40270,KUOPIO,,,,,,,,
21242588,Active,OLLI,SOINI,,,,,1984/01/14,MALE,FIN,,,,,,KAATTARINTIE 35,,33310,KOKKOLA,,,,,,,,
21242591,Active,ANNIKA,NUMMI,,,,,1999/06/24,MALE,FIN,,,,,,NIITYPOLKU 4 C,,62100,LAHTI,,reino.salminen@pp.inet.invalid,,,,,,
21242601,Active,KARI,KORPINEN,,,,,1955/02/06,MALE,FIN,,,,,,Knaperbackantie 42,,20960,HELSINKI,,,,,,,,
21242627,Active,SIIRI,TIKKA,,,,,1989/05/20,MALE,FIN,,,,,,Sammalkuja 3,,80160,ESPOO,,tumpelo_1987@hotmail.invalid,,,,,,
21242643,Active,MATIAS,PAANANEN,,,,,2004/09/05,MALE,FIN,,,,,0451200738,Purjekatu 14 ,,20660,NUMMELA,,ari.herrlin@gmail.invalid,,,,,,
21242672,Active,ANTE,VIITALA,,,,,2009/09/15,MALE,FIN,,,,,050-3439268,POSTELJOONINKATU 49 B,,33800,TAMPERE,,,,,,,,
21242698,Active,JOHAN,BRYLEVA,,,,,2002/05/22,MALE,SGP,,,,,,SELKEENKATU 14 B 5,,41900,KERAVA,,roosa.lilja@gmail.invalid,,,,,,
21242708,Active,JOEL,HINKKANEN,,,,,1961/11/19,MALE,FIN,,,,,,Risöhällvägen 340,,05810,LOHJA,,,,,,,,
21242724,Active,VILLE,JÄRVENSIVU,,,,,1989/09/06,MALE,FIN,,,,,(015) 520 724,TERVAHAUTA 2,,26100,RIIHIMÄKI,,minnamh@kokkolalainen.invalid,,,,,,
21242737,Active,ADEKOLA,MALINEN,,,,,1994/07/12,MALE,FIN,,,,,09 813624,PORRASRINNE 43,,39160,HELSINKI,,hennab@netti.invalid,,,,,,
21242740,Active,ELIAS,VIRTA,,,,,2000/01/26,MALE,FIN,,,,,,PIETARSAARENKATU 4 B AB,,05810,HELSINKI,,,,,,,,
21242766,Active,ILKKA,MÄKI-KAUPPILA,,,,,1998/05/11,MALE,FIN,,,,,,MERIRAUMANTIE 23,,27510,,,tapani.sipila@luukku.invalid,,,,,,
21242782,Active,VILLE,ASP,,,,,1991/05/08,MALE,FIN,,,,,,Ålandsvägen 59,,20100,HELSINKI,,,,,,,,
21242795,Active,MIRO,VÄLIAHO,,,,,1995/08/07,FEMALE,FIN,,,,,050 343 9611,KYYHKYSKUJA 3,,06400,TIUKKA,,timo.lehtola@pp3.inet.invalid,,,,,,
21242821,Active,PATRIK,BOCHEV,,,,,2000/08/14,FEMALE,FIN,,,,,,METSÄRINNE 6 G 30,,01630,JULKUJÄRVI,,,,,,,,
21242834,Active,ANNA,SOKURA,,,,,1991/07/24,MALE,FIN,,,,,040 7050103,KIRSIKUJA 4,,18100,LAHTI,,tuomen.minna@gmail.invalid,,,,,,
21242850,Active,LENNI,OVASKA,,,,,1994/09/06,FEMALE,FIN,,,,,,PALLOTIE 45A,,13720,KUOPIO,,,,,,,,
21242863,Active,PAULUS,MIKKOLA,,,,,2004/09/26,MALE,FIN,,,,,,Revontie 7 B 58,,28800,YL&#214;J&#196;RVI,,anette.backman@arcada.invalid,,,,,,
21242892,Active,PETTERI,ALATALO,,,,,1998/03/27,FEMALE,FIN,,,,,0407001140,KOSKUSTIE 3 A 7,,70200,MYLLYKOSKI,,,,,,,,
21242902,Active,JOONAS,LAPPI,,,,,2002/12/12,MALE,FIN,,,,,,FRIBÖLENTIE 12,,43100,OULU,,anna.koivisto@welho.invalid,,,,,,
21242915,Active,JUNNU,RAUHA,,,,,1992/05/11,MALE,FIN,,,,,,OINOOSENTIE 104,,65230,HYVINKÄÄ,,stenbacken43@aland.invalid,,,,,,
21242928,Active,EKHIABHI,KHAMLOED,,,,,2000/07/09,MALE,FIN,,,,,,Ravikaari 7,,00820,PORI,,svetlana.pihlajaniemi@steeldone.c,,,,,,
21242931,Active,HANNU,REHN,,,,,1981/05/13,MALE,FIN,,,,,,Karppitie 8,,00410,HELSINKI,,paula.jurvelin@jkl.invalid,,,,,,
21242944,Active,ILPO,KEMPPAINEN,,,,,1990/08/11,MALE,FIN,,,,,06-4149815,Kirkkosalmentie 3 A 10,,50100,LEPPÄLAHTI,,,,,,,,
21242960,Active,MIKA,ROSENQVIST,,,,,1992/07/17,MALE,FIN,,,,,,LATVATIE 11 K,,67300,ESPOO,,,,,,,,
21242973,Active,JONATHAN,PERÄLÄ,,,,,1998/06/28,MALE,FIN,,,,,,KOLMENKYLÄNKAARI 10,,45610,NUMMELA,,,,,,,,
21242986,Active,MIKAEL,KOUKKULA,,,,,1972/05/07,MALE,FIN,,,,,0504912061,SÄYNÄVÄLAHDENTIE 60,,15950,Turku,,,,,,,,
21243008,Active,LEEVI,AALTO,,,,,2005/09/21,MALE,FIN,,,,,08-424 400,Tursontie 3,,00960,SAVITAIPALE,,,,,,,,
21243011,Active,ELVIIRA,ASIKAINEN,,,,,1994/01/21,MALE,FIN,,,,,0400670068,KOIVUPOLKU 8,,01370,OULU,,tappurat@luukku.invalid,,,,,,
21243024,Active,KALLE,LINDELL,,,,,1983/03/22,MALE,FIN,,,,,098133171,LANSANTIE 25 E 38,,01730,PALOKKA,,,,,,,,
21243037,Active,JERE,HIRVONEN,,,,,2007/08/04,MALE,SGP,,,,,,TANHUANPÄÄNTIE 29,,04530,PULP,,,,,,,,
21243040,Active,ANNIKA ,HOLMBERG,,,,,1999/02/17,MALE,FIN,,,,,0449141963,FREDRIKA RUNEBERGIN KATU 5 A 2,,28300,HELSINKI,,marjuttiainen@hotmail.invalid,,,,,,
21243053,Active,NEELA,RANNILA,,,,,2003/05/31,MALE,FIN,,,,,08-432760,HANKATIE 4 A,,04600,JÄRVENPÄÄ,,fcraahe@fcraahe.invalid,,,,,,
21243082,Active,JERE,BORGMÄSTARS,,,,,2003/04/18,MALE,FIN,,,,,040-7384077,ÄPPELSTIGEN 4,,63100,MIKKELI,,pekka.kinnala@fimnet.invalid,,,,,,
21243118,Active,SANTTU,KALLANTO,,,,,1984/03/20,MALE,FIN,,,,,,RAKUUNATIE 7,,61120,PIETARSAARI,,teemu.makela@phnet.invalid,,,,,,
21243147,Active,KIIA,KORKALAINEN,,,,,1998/02/11,MALE,FIN,,,,,+358407180680,ILJANKATU 3,,00380,VANTAA,,j.weckstrom@saunalahti.invalid,,,,,,
21243150,Active,VEERA,KIRJONEN,,,,,1986/03/18,MALE,FIN,,,,,0407400188,PAHANKALANTIE 1089,,71800,VANTAA,,,,,,,,
21243163,Active,TOMI,TURPEINEN,,,,,1996/01/19,MALE,FIN,,,,,,MARJARINNE 9 A 1,,00870,RAISIO,,,,,,,,
21243176,Active,KAI,JÄRVINEN,,,,,1991/05/10,FEMALE,FIN,,,,,,XX,,62410,KAINASTO,,,,,,,,
21243192,Active,JARMO,ALPPINEN,,,,,1989/08/30,FEMALE,FIN,,,,,+358409358755,SÖDRA LARSMOVÄGEN 220,,15680,KANGASNIEMI,,,,,,,,
21243215,Active,IDA,MÄENPÄÄ,,,,,1984/01/14,MALE,FIN,,,,,050-323 5146,KIVIOJANTIE 349,,70820,,,,,,,,,
21243228,Active,ALISA,ANTTONEN,,,,,1999/06/24,FEMALE,FIN,,,,,09-8137014,URPIAISENTIE 39,,40720,TERVAKOSKI,,,,,,,,
21243231,Active,AKU,SUOSTE,,,,,1955/02/06,MALE,FIN,,,,,,KÄRRYKUJA 4,,08680,TURKU,,ahola.rauno@hotmail.invalid,,,,,,
21243244,Active,SAKKE,VAITTINEN,,,,,1989/05/20,FEMALE,SGP,,,,,,KIIRUNAVAHE 3 AS. 16,,01480,LOHJA,,thomas.bullivant@gmail.invalid,,,,,,
21243257,Active,PASI,MÄKELÄ,,,,,2004/09/05,MALE,FIN,,,,,+358404112526,NOKKOSKATU 5,,54800,TAMPERE,,migii.8@hotmail.invalid,,,,,,
21243260,Active,SOREN,KALLIO,,,,,2009/09/15,MALE,FIN,,,,,,BLÅBÄRSSTIGEN 4,,68810,TAMPERE,,stilianos.mokiatos@kolumbus.invalid,,,,,,
21243273,Active,EETU,MIKKOLA,,,,,2002/05/22,MALE,FIN,,,,,0407208809,JUHONKATU 8,,66900,VUORENTAUSTA,,tuijakinnunen@hotmail.invalid,,,,,,
21243286,Active,OSKARI,JÄRVI,,,,,1961/11/19,MALE,FIN,,,,,,KISSALANTIE 12,,02280,TUUSULA,,satu.huuhtanen@parker.invalid,,,,,,
21243299,Active,KATARIINA,LAHTINEN,,,,,1989/09/06,MALE,FIN,,,,,050 364 64 37,,,03100,VANTAA,,,,,,,,
21243309,Active,MATIAS,KETTUNEN,,,,,1994/07/12,MALE,FIN,,,,,,XX,,27100,OULU,,terhi.ulmanen@phsotey.invalid,,,,,,
21243312,Active,HENRI,AUVINEN,,,,,2000/01/26,MALE,FIN,,,,,,VESTVÄGEN 48,,65230,KOKKOLA,,,,,,,,
21243325,Active,JOONAS,KOSKI,,,,,1998/05/11,MALE,FIN,,,,,,LUMIKONKUJA 6 AS. 7,,66400,JÄÄLI,,,,,,,,
21243338,Active,RIKU,ASIKAINEN,,,,,1991/05/08,MALE,FIN,,,,,0444166523,MATIKANRANTA,,41340,SALO,,minna.kuivas@gmail.invalid,,,,,,
21243354,Active,SALLA,MAURANEN,,,,,1995/08/07,MALE,FIN,,,,,+358458515544,HÄMEENTIE 7 B 34,,26200,KIURUVESI,,simo_koistinen@hotmail.invalid,,,,,,
21243370,Active,TUOMAS,KUITUNEN,,,,,2000/08/14,MALE,FIN,,,,,,KAIVOKATU 1 C 76,,02320,KUOPIO,,panu.rautio@poliisi.invalid,,,,,,
21243383,Active,SAMPO,COLLIN,,,,,1991/07/24,MALE,FIN,,,,,,YLÄKARTANONKUJA 2 C 81,,27510,MIKKELI,,fcvapsi@fcvapsi.invalid,,,,,,
